x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1898.8,1898-08,2014-07-31 11:47:36,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1898,8,,16.304545454545455,22,7.2,22,31.1,22,,6.8,22,3,,0,22,,,,,5.6,42.9
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1898.9,1898-09,2014-07-31 11:47:36,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1898,9,,14.17,30,2.8,30,29.4,30,,45.7,30,7,,0,30,,,,,1.5,116.4
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1898.10,1898-10,2014-07-31 11:47:36,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1898,10,,9.864516129032259,31,2.2,31,16.1,31,,79.9,31,8,,0,31,,,,,0,252.2
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1898.11,1898-11,2014-07-31 11:47:35,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1898,11,,6.406666666666666,30,-0.6,30,11.7,30,,112.8,30,22,,0,30,,,,,0,347.8
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1898.12,1898-12,2014-07-31 11:47:36,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1898,12,,4.248387096774193,31,-3.3,31,11.7,31,,104.5,31,12,,12.8,31,,,,,0,426.3
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1899.1,1899-01,2014-07-31 11:47:35,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1899,1,,4.019354838709678,31,-12.2,31,12.8,31,,127,31,17,,32,31,,,,,0,433.4
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1899.2,1899-02,2014-07-31 11:47:36,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1899,2,,3.210714285714286,28,-11.1,28,11.7,28,,136.3,28,15,,35.3,28,,,,,0,414.1
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1899.3,1899-03,2014-07-31 11:47:36,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1899,3,,5.622580645161291,31,-2.2,31,12.8,31,,62.2,31,11,,6.1,31,,,,,0,383.7
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1899.4,1899-04,2014-07-31 11:47:36,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1899,4,,8.366666666666667,30,0.6,30,20.6,30,,73.2,30,11,,0,30,,,,,0,289
-123.32500472222222,48.4130725,48.417,-123.317,VICTORIA GONZALES HTS,1018610,113.1899.5,1899-05,2014-07-31 11:47:36,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,1899,5,,10.025806451612903,31,1.1,31,18.9,31,,38.3,31,9,,0,31,,,,,0,247.2
