state.name,electoral.votes,candidate
Alabama,9,Trump
Arizona,11,Biden
Arkansas,6,Trump
California,55,Biden
Colorado,9,Biden
Connecticut,7,Biden
Delaware,3,Biden
Florida,29,Trump
Georgia,16,Biden
Idaho,4,Trump
Illinois,20,Biden
Indiana,11,Trump
Iowa,6,Trump
Kansas,6,Trump
Kentucky,8,Trump
Louisiana,8,Trump
Maine,4,Biden
Maryland,10,Biden
Massachusetts,11,Biden
Michigan,16,Biden
Minnesota,10,Biden
Mississippi,6,Trump
Missouri,10,Trump
Montana,3,Trump
Nebraska,5,Trump
Nevada,6,Biden
New Hampshire,4,Biden
New Jersey,14,Biden
New Mexico,5,Biden
New York,29,Biden
North Carolina,15,Trump
North Dakota,3,Trump
Ohio,18,Trump
Oklahoma,7,Trump
Oregon,7,Biden
Pennsylvania,20,Biden
Rhode Island,4,Biden
South Carolina,9,Trump
South Dakota,3,Trump
Tennessee,11,Trump
Texas,38,Trump
Utah,6,Trump
Vermont,3,Biden
Virginia,13,Biden
Washington,12,Biden
West Virginia,5,Trump
Wisconsin,10,Biden
Wyoming,3,Trump
