"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-01","2021","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-02","2021","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-03","2021","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-04","2021","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-05","2021","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-06","2021","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-07","2021","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-08","2021","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-09","2021","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-10","2021","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-11","2021","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-12","2021","01","12","†","11.0","","1.5","","6.3","","11.7","","0.0","","13.0","","0.0","","13.0","","0","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-13","2021","01","13","†","5.0","","2.0","","3.5","","14.5","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-14","2021","01","14","†","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-15","2021","01","15","†","6.0","","-1.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-16","2021","01","16","†","3.0","","-2.5","","0.3","","17.7","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-17","2021","01","17","†","4.0","","-1.0","","1.5","","16.5","","0.0","","1.0","","0.0","","1.0","","1","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-18","2021","01","18","†","5.0","","1.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-19","2021","01","19","†","5.0","","-2.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-119.45","50.06","OKANAGAN CENTRE","1125700","2021-01-20","2021","01","20","†","5.0","","0.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
