Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-119.4,49.86,KELOWNA EAST,1123984,2000-01-01,2000,1,1,,-1,,-6,,-3.5,,21.5,,0,,0,,3.2,,3.2,,,M,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-02,2000,1,2,,3,,-3,,0,,18,,0,,0,,0,T,0,T,13,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-03,2000,1,3,,0,,-3.5,,-1.8,,19.8,,0,,0,,7.8,,7.8,,,M,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-04,2000,1,4,,4.5,,-3,,0.8,,17.2,,0,,0,,0,,0,,16,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-05,2000,1,5,,5,,-2.5,,1.3,,16.7,,0,,0,,0,,0,,,M,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-06,2000,1,6,,0.5,,-3,,-1.3,,19.3,,0,,0,,0,,0,,,M,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-07,2000,1,7,,2.5,,-2,,0.3,,17.7,,0,,0,T,1.6,,1.6,,,M,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-08,2000,1,8,,6,,-2,,2,,16,,0,,0,T,0.6,,0.6,,13,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-09,2000,1,9,,4,,-1,,1.5,,16.5,,0,,0.4,,0,,0.4,,11,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-10,2000,1,10,,2.5,,-5,,-1.3,,19.3,,0,,0,,0.6,,0.6,,11,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-11,2000,1,11,,0.5,,-7.5,,-3.5,,21.5,,0,,0,,0,T,0,T,,M,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-12,2000,1,12,,3,,-5.5,,-1.3,,19.3,,0,,0,,0,,0,,12,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-13,2000,1,13,,-0.5,,-6,,-3.3,,21.3,,0,,0,,1.2,,1.2,,12,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-14,2000,1,14,,2,,-4.5,,-1.3,,19.3,,0,,0,,1.6,,1.6,,13,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-15,2000,1,15,,4,,-4.5,,-0.3,,18.3,,0,,0,,2.6,,2.6,,15,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-16,2000,1,16,,1.5,,-5,,-1.8,,19.8,,0,,0,,4,,4,,16,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-17,2000,1,17,,7,,-3,,2,,16,,0,,0,,0,,0,,19,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-18,2000,1,18,,1,,-5,,-2,,20,,0,,0,,0,,0,,18,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-19,2000,1,19,,-2.5,,-11,,-6.8,,24.8,,0,,0,,1.4,,1.4,,18,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-01-20,2000,1,20,,-2,,-11.5,,-6.8,,24.8,,0,,0,,3.8,,3.8,,18,,,,,
